"id","cuisine","rating","review_count","recommended"
"""qGgQMVExGERqGhZNDM2ROg""","""Chinese""",3.5,448,0
"""B6bEkY9sJ_GU2pD2Rwb4gg""","""Mexican""",3.5,374,0
"""zn4PW7NVdgCvg7vxVXQ_Qg""","""American""",3,893,0
"""Z8pm4rLTBki7OLgtbcTXEg""","""American""",3,788,0
"""u9xVzV1OZC5pwtUgaHLM-A""","""Mexican""",4.5,210,1
"""OrhRTDA0dj81XVhOibXsUQ""","""Thai""",3.5,304,0
"""2YPmpAaue_v1t0tb1PoHWw""","""American""",3.5,385,0
"""dz88dkY9JaoXe2sF8MSjVQ""","""Japanese""",2.5,821,0
"""QKFzm9Z6NA6ec1j7M1nd8g""","""Japanese""",3.5,337,0
"""SP4bvMvxel_UPdof_er3HA""","""Mexican""",4.5,342,1
"""uaFHoq-a5XqxF-bsOK9_Qg""","""Chinese""",3.5,764,0
"""N0cfNApqwrPEqXgcf3NWmg""","""Korean""",3.5,848,0
"""zubN8Ve-RyoljRZV4NRxEQ""","""Chinese""",3.5,1140,0
"""-8DN9JN07jLnDEPi19cSzw""","""American""",3.5,358,0
"""2TWVQBY6WvzvaU1taRXHCw""","""Japanese""",3.5,395,0
"""hFeGYPt9M5dd_KXG9a_ePQ""","""Italian""",3,312,0
"""zcwxdBaofN3EFcSjo4OdXg""","""American""",3.5,306,0
"""1m6viubAWUgsTgguIrJT6A""","""Mexican""",3.5,668,0
"""3O8IdtlrHNBzxEnPGD1ONw""","""Italian""",3.5,346,0
"""nd0uXNXaeaDMuMk4C1GusA""","""Indian""",3.5,482,0
"""15k7iqFbhf4h8L01yggLqg""","""Italian""",4.5,291,1
"""Ad3dUoLatOdNtB4LxfmmWg""","""Japanese""",3.5,1487,0
"""Jhx4OoFjXFp0YxqbW0KQog""","""American""",3.5,734,0
"""dwq7d6w1DD_D5jjPWQo-XA""","""American""",2.5,658,0
"""TYKqS9eoC4xiixTNP_xsMQ""","""American""",3.5,936,0
"""gZqwq8kE-Z3-DdZGOEjOkQ""","""Japanese""",3.5,702,0
"""5ZCvexz7_WHJCRgC3yGczw""","""Korean""",3.5,495,0
"""ADJ-QWT0eeq3ZzKz_oSCQg""","""Korean""",3.5,635,0
"""M1YYZ9cTVuMXLji_XF6rzg""","""Mexican""",3.5,1025,0
"""lpLd3AFaMOV7LfPtvUiq8A""","""Chinese""",3,624,0
"""2f0EWTvp3YDtGNKEEXKKhA""","""Japanese""",3.5,805,0
"""dYWjNK07igws9jFNgQmhng""","""Mexican""",3.5,1294,0
"""OLa3-KQO9rHjswo55E3Jgg""","""Italian""",4.5,436,1
"""scTDvJ2M2jDbb1ntVeIyxA""","""Chinese""",3.5,350,0
"""pNe8ZCkGTe4cXfKdOF7kYQ""","""Japanese""",4.5,226,1
"""1Duix1fA6zcJGdYAmBPkmw""","""Chinese""",3.5,743,0
"""uipFunIVqRWwopfEvrscyQ""","""Mexican""",3.5,353,0
