"id","cuisine","rating","review_count"
"nI1UYDCYUTt23TpGxqnLKg","Chinese",4,3386
"0CjK3esfpFcxIopebzjFxA","Chinese",4,5068
"IhSVn0TaX8xXb3wcQ-fgcA","Chinese",4,2229
"X8ZS-dgiMIJvhwf9SaDnjw","Chinese",4.5,945
"Gd3_3mxOvj2xYiqysV8rbQ","Chinese",4,1466
"Lbs8QBRN1U7IYBo5Mcv-RQ","Chinese",4,1377
"HScFap2SwbUlfC-QXVkxFA","Chinese",4,1313
"R26zweQ8-xoZS7iHkXQOvw","Chinese",4,1295
"M-odQWSEfsR2mVEw7nKG-g","Chinese",4,1777
"x_t-FtDa5HVgc-wecp0HBg","Chinese",3.5,2019
"H1jops1lmuhrq9lP7lEGJQ","Chinese",4,1046
"B3i4zs5wquFu1UZyzYJ-bQ","Chinese",3.5,1755
"97q5nUQTuBo_h00XCxna2A","Chinese",4,1353
"wfhMIiMh2A2psCGONOVSlg","Chinese",4,996
"xq0cX_DgxiJMXwhmEl9kUA","Chinese",4,1048
"lynQoI3w_pzYfHGeuUU-Qg","Chinese",4.5,483
"oe8GEFE4QLFAKt87y7zcgA","Chinese",4,477
"neQM053ovAOrf1sVSAPI9w","Chinese",4,769
"L37A2JWXfwR_PgKColA8xA","Chinese",3.5,1252
"LpVbI-E9C-CSp7WhU5h2Iw","Chinese",4.5,422
"bVkjBJlAIwKAj9Aw1KVWjA","Chinese",4,651
"FH978pIP1TLRuPAH-MbWIQ","Chinese",3.5,1947
"_usWsAYSKKV2q8xw-3ajrA","Chinese",3.5,1558
"tguMh2GgOcU9fu6WN3dqpw","Chinese",4,822
"bnDfFdiCcPzhuNWUJORvLQ","Chinese",4,779
"d_TC6Om2EBTzHVm_lCgNtg","Chinese",3.5,1092
"Va_mnsEvBghHXvc7uZIWJQ","Chinese",4,477
"rYw5rQbWRX9buZHZbxqWdA","Chinese",3.5,1354
"zubN8Ve-RyoljRZV4NRxEQ","Chinese",3.5,1140
"rEbwps11tIERRkwQrIXQog","Chinese",3.5,737
"fPW_GBZsnBNsIzK62sCHBg","Chinese",4,827
"kwqOmEwWJ0D9PyCdFGE3-g","Chinese",4,526
"SNhDVaf_n7VDZcfry8mYdA","Chinese",3.5,913
"BPErPpKSNluwcjbKRgze3w","Chinese",4,388
"R7EGjHWw0tNheY6-ahH8fQ","Chinese",4.5,327
"6zM0c7vvoddgza_qvKkATw","Chinese",3.5,1454
"0vg2Z-HPwkyVVX613j2ysg","Chinese",4.5,262
