"id","cuisine","rating","review_count","name","address","latitude","longitude","zipcode"
"TUoya6mwmxr0Zpr8oZSXlg","Thai",4,33,"Thip Osha","795 Grand St",40.712123,-73.941437,"11211"
"pjnaG8CTsXgr_sTFKkvMYw","Thai",3,24,"Talent 2 Thai Kitchen","592 9th Ave",40.7587,-73.99207,"10036"
"GSOwJ5Gr8X4eGbkIjCzMWA","Thai",3.5,98,"Thaism","278 Smith St",40.6824841,-73.9935637,"11231"
"uzSAWlBfrm-9xufAKbY9OA","Thai",2.5,107,"Erb Thai","681 Manhattan Ave",40.724933,-73.951759,"11222"
"FsHqkVb0kmLq1VW7P-xz1A","Thai",3,140,"Tomo Japanese Fusion","1077 Flushing Ave",40.7047424316406,-73.9292984008789,"11237"
"X3T2rK-GrEgVUai-MeXAzg","Thai",4,12,"Thongyib Thai Cart","405 Park Ave",40.7598555582005,-73.9723258723791,"10022"
"KIERtmoOTz7r103MWw08nA","Thai",3,126,"Cafe Chili","172 Court St",40.68801,-73.99334,"11201"
"Eyn7hQENF8R9DrBwBHO6lQ","Thai",4.5,28,"Pata Cafe","5614 Van Horn St",40.7326341,-73.8769762,"11373"
"ybPMdh4XiTTwLWOMUXdwlw","Thai",3,150,"Thai 101 Bistro","448 Myrtle Ave",40.6930313110352,-73.9674987792969,"11205"
"Qacx-Vge9JcfkCPdkhle3Q","Thai",2,68,"Chef's Secret","137 E 45th St",40.75334,-73.97398,"10017"
"shHhP5lfZwrAYFL3K04_lg","Thai",4,22,"Hero Thai-Izakaya","34-16 Broadway",40.76038,-73.9225699,"11106"
"zYIKxE7eKeglXweoABjSwg","Thai",3.5,46,"Thai BKK","2021 Lexington Ave",40.80283,-73.93838,"10035"
"StFf9fVnAlhwrUWan0C4Ww","Thai",4,47,"Wanisa Home Kitchen","142 Smith St",40.68703,-73.99051,"11201"
"YCBjn0t4bMaQb8Bk7l37ng","Thai",2.5,42,"Gan Asia","691 Amsterdam Ave",40.7923393,-73.971405,"10025"
"hSDbm_GLRNHsMZo_SjBXRw","Thai",3,25,"Real Thai Cuisine","530 9th Ave",40.75669,-73.99369,"10018"
"ql3_yRC2POTxtRgUUrp8pA","Thai",3,35,"Sripraphai","176 N 9th St",40.718545,-73.95635,"11211"
"5rX_7IkvFx5MKqS3ikQe3Q","Thai",3,95,"Fortune House","82 Henry St",40.6984406,-73.9927368,"11201"
"jOGL9SOeMH2F6HO5qxbDHw","Thai",3.5,44,"Boon Thai","681 Manhattan Ave",40.724933,-73.951759,"11222"
"3pOAiE7W7nDEeVFNy_vmfw","Thai",2,30,"A La Mode Oriental","37 W 54th St",40.7621,-73.97732,"10019"
"tw3PUp40GLxuHWqYKsiGFQ","Thai",3,144,"Ridgewood Thai","7204 Forest Ave",40.699845,-73.899577,"11385"
"mlpocFeAfMUgV1-0myDn2A","Thai",3,100,"Spice Thai","193 Smith St",40.685208812356,-73.9914359897375,"11201"
"iB1tr_xJk7aAt0AhewoB9Q","Thai",2,40,"Thai-Nam Restaurant","137 E 45th St",40.7532501,-73.9740524,"10017"
"1BJo1JcwYHUuk-UfJLEwUQ","Thai",3.5,24,"Vera Thai Restaurant","43-01 Queens Blvd",40.74386,-73.9212,"11104"
"OR9oqAJW-U5ZnqhwH12Nuw","Thai",4,24,"Khao Nom","76-20 Woodside Ave",40.7432992,-73.8880863,"11373"
"9ieA0TyApI94wEqqW_r93w","Thai",1.5,46,"Aaron's Chinese and Thai","338 9th Ave",40.750379,-73.998141,"10001"
"hgjwwRqwOfBrrGPRco7KEA","Thai",3.5,54,"Teeda Thai Cuisine","218 Columbia St",40.68472,-74.00301,"11201"
"UC3n_0vZ5zI1fvi7UzNZAg","Thai",4.5,21,"Sabai Thai Restaurant","432 Park Ave S",40.74422,-73.98365,"10016"
"PPQSf_1JWkbjFHi1S0nSNA","Thai",5,30,"Lamoon","8140 Broadway",40.7428524,-73.8830175,"11373"
"RjxtXkvbVBCDpJdt8pn5lg","Thai",2.5,111,"Note Thai","279 Bushwick Ave",40.70647,-73.93948,"11206"
"9c8M-3W7vuP4idvgi2LXSw","Thai",3,95,"Fulton Thai","848 Fulton St",40.683459,-73.967407,"11238"
"Il1K0hzGEiJgLLBCZCfA1A","Thai",4,19,"Thai Thai Grocery Store","7613 Woodside Ave",40.7435913085938,-73.8883056640625,"11373"
"vBQ1tfFZS2IWjO2nhNsewQ","Thai",3.5,20,"Rhong-Tiam Thai Truck","31 E 21st St",40.7150710530191,-73.9605347930137,"11205"
"mpLOVmnuHnYEtBVtVy3xYQ","Thai",4.5,4,"TumYum","917 105th St",40.79949,-73.96553,"10025"
"3RuiiqUg8C3HZ-RuvlqtBg","Thai",2.5,66,"Tawa Wok","608 Grove St",40.7322445520707,-74.0408217887441,"07310"
"C5t0mPGdT_sOlcg-RkGcjA","Thai",2,17,"Empire","8 Murray St",40.7131452,-74.0077389,"10007"
"7zaqOuu7vb1XIf3uNUBPnQ","Thai",3,5,"Thaimee Magic","353 W 14th St",40.7408261,-74.0047136,"10014"
"BwZgxjMkONG-wVJfO8Nd2g","Thai",2,20,"Thai Lemongrass","273 A Mott St",40.7239,-73.99479,"10012"
"I6XC8dNxUzIcIOEbq3LJsQ","Thai",3.5,10,"Number One Chinese Restaurant","6514 Park Ave",40.78975,-74.00513,"07093"
"YMcDo3UccCPvIJrQ5Yt9Yw","Thai",3.5,33,"Rama Thai Cuisine","881 Woodward Ave",40.7025939,-73.901464,"11385"
"0QcOIcnGZVf2CW7ibeKh_Q","Thai",2,13,"Long Grain Thai & Japanese","710 Amsterdam Ave",40.793201,-73.971397,"10025"
